id,name,sprite_key
10001,약한 돌,infinite_t1
10002,약한 돌,infinite_t1
10003,약한 돌,infinite_t1
10004,약한 돌,infinite_t1
10005,약한 돌,infinite_t1
10006,돌,infinite_t2
10007,돌,infinite_t2
10008,돌,infinite_t2
10009,돌,infinite_t2
10010,돌,infinite_t2
10011,구리,infinite_t3
10012,구리,infinite_t3
10013,구리,infinite_t3
10014,구리,infinite_t3
10015,구리,infinite_t3
10016,산화철,infinite_t4
10017,산화철,infinite_t4
10018,산화철,infinite_t4
10019,산화철,infinite_t4
10020,산화철,infinite_t4
10021,강철,infinite_t5
10022,강철,infinite_t5
10023,강철,infinite_t5
10024,강철,infinite_t5
10025,강철,infinite_t5
10026,흑철,infinite_t6
10027,흑철,infinite_t6
10028,흑철,infinite_t6
10029,흑철,infinite_t6
10030,흑철,infinite_t6
10031,은,infinite_t7
10032,은,infinite_t7
10033,은,infinite_t7
10034,은,infinite_t7
10035,은,infinite_t7
10036,리튬,infinite_t8
10037,리튬,infinite_t8
10038,리튬,infinite_t8
10039,리튬,infinite_t8
10040,리튬,infinite_t8
10041,운모,infinite_t9
10042,운모,infinite_t9
10043,운모,infinite_t9
10044,운모,infinite_t9
10045,운모,infinite_t9
10046,에메랄드,infinite_t10
10047,에메랄드,infinite_t10
10048,에메랄드,infinite_t10
10049,에메랄드,infinite_t10
10050,에메랄드,infinite_t10
10051,아쿠아마린,infinite_t11
10052,아쿠아마린,infinite_t11
10053,아쿠아마린,infinite_t11
10054,아쿠아마린,infinite_t11
10055,아쿠아마린,infinite_t11
10056,금,infinite_t12
10057,금,infinite_t12
10058,금,infinite_t12
10059,금,infinite_t12
10060,금,infinite_t12
10061,다이아몬드,infinite_t13
10062,다이아몬드,infinite_t13
10063,다이아몬드,infinite_t13
10064,다이아몬드,infinite_t13
10065,다이아몬드,infinite_t13
10066,석영,infinite_t14
10067,석영,infinite_t14
10068,석영,infinite_t14
10069,석영,infinite_t14
10070,석영,infinite_t14
10071,감람석,infinite_t15
10072,감람석,infinite_t15
10073,감람석,infinite_t15
10074,감람석,infinite_t15
10075,감람석,infinite_t15
10076,백금,infinite_t16
10077,백금,infinite_t16
10078,백금,infinite_t16
10079,백금,infinite_t16
10080,백금,infinite_t16
10081,비스무트,infinite_t17
10082,비스무트,infinite_t17
10083,비스무트,infinite_t17
10084,비스무트,infinite_t17
10085,비스무트,infinite_t17
10086,오리할콘,infinite_t18
10087,오리할콘,infinite_t18
10088,오리할콘,infinite_t18
10089,오리할콘,infinite_t18
10090,오리할콘,infinite_t18
10091,토파즈,infinite_t19
10092,토파즈,infinite_t19
10093,토파즈,infinite_t19
10094,토파즈,infinite_t19
10095,토파즈,infinite_t19
10096,문스톤,infinite_t20
10097,문스톤,infinite_t20
10098,문스톤,infinite_t20
10099,문스톤,infinite_t20
10100,문스톤,infinite_t20
